Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
..Dezembro/2016;-;-;1;-;-;2;3
2017;11;1;4;7;8;39;70
..Janeiro/2017;-;-;1;1;-;-;2
..Fevereiro/2017;1;-;-;-;1;5;7
..Mar�o/2017;1;-;-;-;-;4;5
..Abril/2017;3;-;-;1;-;3;7
..Maio/2017;3;-;-;1;1;4;9
..Junho/2017;-;-;1;-;-;5;6
..Julho/2017;1;1;-;-;-;3;5
..Agosto/2017;2;-;-;-;1;3;6
..Setembro/2017;-;-;1;2;1;1;5
..Outubro/2017;-;-;-;2;1;3;6
..Novembro/2017;-;-;1;-;2;2;5
..Dezembro/2017;-;-;-;-;1;6;7
2018;13;1;4;-;5;38;61
..Janeiro/2018;2;-;1;-;-;3;6
..Fevereiro/2018;-;-;-;-;-;2;2
..Mar�o/2018;-;-;-;-;1;3;4
..Abril/2018;2;1;-;-;-;6;9
..Maio/2018;1;-;-;-;2;2;5
..Junho/2018;2;-;1;-;-;3;6
..Julho/2018;1;-;-;-;-;2;3
..Agosto/2018;1;-;-;-;-;5;6
..Setembro/2018;3;-;1;-;-;3;7
..Outubro/2018;1;-;-;-;1;5;7
..Novembro/2018;-;-;-;-;-;1;1
..Dezembro/2018;-;-;1;-;1;3;5
2019;10;-;3;2;10;18;43
..Janeiro/2019;-;-;-;-;1;4;5
..Fevereiro/2019;-;-;-;-;1;-;1
..Mar�o/2019;-;-;-;1;2;-;3
..Abril/2019;-;-;-;-;2;1;3
..Maio/2019;3;-;2;-;2;2;9
..Junho/2019;2;-;-;-;-;1;3
..Julho/2019;1;-;-;-;-;-;1
..Agosto/2019;1;-;-;-;-;2;3
..Setembro/2019;-;-;-;-;1;2;3
..Outubro/2019;1;-;1;1;1;1;5
..Novembro/2019;2;-;-;-;-;1;3
..Dezembro/2019;-;-;-;-;-;4;4
Total;95;20;34;59;90;404;702
 ;;;;;;;
