Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
..Julho/2016;4;1;-;-;2;8;15
..Agosto/2016;-;1;2;-;-;5;8
..Setembro/2016;1;-;2;-;-;2;5
..Outubro/2016;2;-;-;-;1;3;6
..Novembro/2016;1;-;1;1;-;2;5
..Dezembro/2016;1;-;-;1;-;4;6
2017;12;2;7;3;5;47;76
..Janeiro/2017;-;-;1;2;-;2;5
..Fevereiro/2017;-;-;-;-;-;5;5
..Mar�o/2017;2;-;-;-;1;7;10
..Abril/2017;-;-;1;1;1;7;10
..Maio/2017;1;1;-;-;1;3;6
..Junho/2017;-;-;1;-;1;8;10
..Julho/2017;1;-;-;-;-;7;8
..Agosto/2017;2;-;1;-;-;2;5
..Setembro/2017;2;1;1;-;-;2;6
..Outubro/2017;2;-;-;-;-;1;3
..Novembro/2017;-;-;1;-;-;-;1
..Dezembro/2017;2;-;1;-;1;3;7
2018;8;2;4;6;2;19;41
..Fevereiro/2018;-;-;-;-;-;2;2
..Mar�o/2018;-;-;1;-;-;-;1
..Abril/2018;-;-;1;1;-;2;4
..Maio/2018;-;-;1;1;1;1;4
..Junho/2018;2;-;-;1;-;4;7
..Agosto/2018;1;2;-;-;-;3;6
..Setembro/2018;2;-;1;-;1;-;4
..Outubro/2018;1;-;-;1;-;3;5
..Novembro/2018;1;-;-;1;-;2;4
..Dezembro/2018;1;-;-;1;-;2;4
2019;12;3;9;11;7;24;66
..Janeiro/2019;1;-;1;2;3;4;11
..Fevereiro/2019;3;1;1;1;-;1;7
..Mar�o/2019;-;-;1;-;1;2;4
..Abril/2019;2;1;1;1;-;6;11
..Maio/2019;-;-;1;-;-;2;3
..Junho/2019;-;-;-;-;-;4;4
..Julho/2019;3;-;1;1;-;-;5
..Agosto/2019;-;1;-;2;2;2;7
..Setembro/2019;-;-;1;2;-;1;4
..Outubro/2019;-;-;1;1;-;1;3
..Novembro/2019;2;-;1;1;1;-;5
..Dezembro/2019;1;-;-;-;-;1;2
Total;341;73;194;253;171;938;1970
 ;;;;;;;
