Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
..Agosto/2015;4;4;1;6;3;14;32
..Setembro/2015;8;1;2;4;2;22;39
..Outubro/2015;7;2;-;2;4;10;25
..Novembro/2015;7;2;-;2;4;12;27
..Dezembro/2015;5;-;3;2;4;19;33
2016;90;14;37;43;45;258;487
..Janeiro/2016;6;-;3;1;5;24;39
..Fevereiro/2016;5;4;2;4;2;17;34
..Mar�o/2016;5;-;4;2;8;20;39
..Abril/2016;10;2;3;5;6;25;51
..Maio/2016;11;-;7;4;1;24;47
..Junho/2016;9;1;5;8;3;26;52
..Julho/2016;13;4;1;6;3;32;59
..Agosto/2016;7;1;2;3;4;18;35
..Setembro/2016;5;1;2;1;1;19;29
..Outubro/2016;6;1;4;3;5;21;40
..Novembro/2016;7;-;1;4;2;14;28
..Dezembro/2016;6;-;3;2;5;18;34
2017;87;13;26;37;48;278;489
..Janeiro/2017;1;1;3;5;-;12;22
..Fevereiro/2017;5;3;1;2;2;21;34
..Mar�o/2017;8;3;-;-;4;22;37
..Abril/2017;12;-;2;8;2;36;60
..Maio/2017;14;2;1;3;10;29;59
..Junho/2017;7;-;4;1;7;33;52
..Julho/2017;4;2;3;-;2;33;44
..Agosto/2017;8;-;3;4;4;18;37
..Setembro/2017;6;1;2;3;5;19;36
..Outubro/2017;7;1;-;4;3;19;34
..Novembro/2017;9;-;3;2;3;17;34
..Dezembro/2017;6;-;4;5;6;19;40
2018;87;10;31;33;28;246;435
..Janeiro/2018;5;-;2;1;1;13;22
..Fevereiro/2018;5;-;2;1;1;10;19
..Mar�o/2018;8;-;2;2;4;16;32
..Abril/2018;9;1;2;7;-;27;46
..Maio/2018;4;2;5;11;7;24;53
..Junho/2018;12;1;3;2;2;31;51
..Julho/2018;4;1;3;2;2;20;32
..Agosto/2018;12;2;1;-;-;20;35
..Setembro/2018;9;-;2;4;2;12;29
..Outubro/2018;8;1;1;1;4;32;47
..Novembro/2018;4;-;3;1;3;21;32
..Dezembro/2018;7;2;5;1;2;20;37
2019;72;16;33;36;40;201;398
..Janeiro/2019;5;-;3;2;5;15;30
..Fevereiro/2019;5;1;2;1;2;11;22
..Mar�o/2019;4;1;2;5;3;10;25
..Abril/2019;4;2;2;3;4;27;42
..Maio/2019;4;1;5;3;5;19;37
..Junho/2019;11;2;4;1;1;21;40
..Julho/2019;8;-;2;2;2;15;29
..Agosto/2019;4;1;4;7;4;19;39
..Setembro/2019;4;1;1;3;5;19;33
..Outubro/2019;5;1;5;2;4;17;34
..Novembro/2019;9;2;3;5;5;14;38
..Dezembro/2019;9;4;-;2;-;14;29
Total;1231;268;525;733;800;4153;7710
 ;;;;;;;
