Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
2006;6;3;5;-;14;9;37
..Janeiro/2006;-;-;-;-;3;1;4
..Fevereiro/2006;1;-;-;-;3;-;4
..Mar�o/2006;-;-;1;-;1;-;2
..Abril/2006;1;-;-;-;1;3;5
..Maio/2006;3;-;1;-;2;-;6
..Junho/2006;-;1;-;-;1;-;2
..Julho/2006;-;1;1;-;2;-;4
..Agosto/2006;-;1;1;-;-;-;2
..Setembro/2006;-;-;-;-;1;-;1
..Outubro/2006;-;-;-;-;-;1;1
..Novembro/2006;-;-;1;-;-;2;3
..Dezembro/2006;1;-;-;-;-;2;3
2007;1;1;2;1;7;8;20
..Janeiro/2007;-;-;-;-;1;1;2
..Fevereiro/2007;-;-;1;-;-;1;2
..Mar�o/2007;-;-;-;-;1;1;2
..Abril/2007;-;-;1;-;-;-;1
..Maio/2007;1;-;-;-;4;-;5
..Junho/2007;-;1;-;1;-;1;3
..Agosto/2007;-;-;-;-;-;3;3
..Setembro/2007;-;-;-;-;-;1;1
..Dezembro/2007;-;-;-;-;1;-;1
2008;2;-;3;-;11;15;31
..Janeiro/2008;-;-;-;-;-;2;2
..Mar�o/2008;-;-;1;-;-;1;2
..Abril/2008;-;-;-;-;3;4;7
..Maio/2008;-;-;1;-;1;1;3
..Junho/2008;-;-;-;-;2;-;2
..Julho/2008;2;-;1;-;1;1;5
..Agosto/2008;-;-;-;-;1;-;1
..Setembro/2008;-;-;-;-;1;1;2
..Outubro/2008;-;-;-;-;1;3;4
..Novembro/2008;-;-;-;-;1;1;2
..Dezembro/2008;-;-;-;-;-;1;1
2009;7;-;5;-;6;11;29
..Janeiro/2009;-;-;-;-;1;1;2
..Fevereiro/2009;-;-;-;-;1;1;2
..Abril/2009;2;-;2;-;1;1;6
..Maio/2009;-;-;-;-;-;1;1
..Junho/2009;2;-;3;-;-;1;6
..Julho/2009;2;-;-;-;1;1;4
..Agosto/2009;-;-;-;-;-;1;1
..Setembro/2009;1;-;-;-;-;1;2
..Outubro/2009;-;-;-;-;1;2;3
..Novembro/2009;-;-;-;-;1;1;2
2010;2;1;1;-;4;7;15
..Mar�o/2010;-;-;-;-;-;1;1
..Abril/2010;1;1;-;-;1;1;4
..Maio/2010;-;-;-;-;-;1;1
..Junho/2010;-;-;-;-;2;1;3
..Agosto/2010;-;-;-;-;-;1;1
..Setembro/2010;-;-;-;-;1;-;1
..Outubro/2010;-;-;1;-;-;1;2
..Novembro/2010;1;-;-;-;-;-;1
..Dezembro/2010;-;-;-;-;-;1;1
2011;4;1;3;2;2;7;19
..Janeiro/2011;-;-;-;-;-;1;1
..Mar�o/2011;1;-;1;1;-;-;3
..Abril/2011;1;-;-;-;-;-;1
..Maio/2011;-;-;1;-;-;1;2
..Junho/2011;1;-;1;-;-;1;3
..Setembro/2011;-;-;-;-;1;-;1
..Outubro/2011;-;-;-;-;1;2;3
..Novembro/2011;-;1;-;1;-;1;3
..Dezembro/2011;1;-;-;-;-;1;2
2012;5;-;6;3;1;8;23
..Janeiro/2012;-;-;-;1;-;-;1
..Fevereiro/2012;1;-;1;1;1;1;5
..Mar�o/2012;-;-;-;-;-;2;2
..Abril/2012;-;-;1;-;-;1;2
..Junho/2012;-;-;1;-;-;-;1
..Julho/2012;-;-;-;-;-;1;1
..Agosto/2012;2;-;-;-;-;1;3
..Setembro/2012;-;-;2;-;-;2;4
..Novembro/2012;2;-;-;-;-;-;2
..Dezembro/2012;-;-;1;1;-;-;2
2013;5;-;-;1;1;3;10
..Janeiro/2013;1;-;-;-;-;-;1
..Abril/2013;1;-;-;1;1;-;3
..Maio/2013;1;-;-;-;-;-;1
..Junho/2013;-;-;-;-;-;1;1
..Julho/2013;-;-;-;-;-;2;2
..Novembro/2013;1;-;-;-;-;-;1
..Dezembro/2013;1;-;-;-;-;-;1
2014;6;1;1;2;1;3;14
..Fevereiro/2014;-;-;-;-;-;1;1
..Mar�o/2014;1;-;1;-;-;1;3
..Abril/2014;-;1;-;-;-;-;1
..Maio/2014;1;-;-;1;-;-;2
..Junho/2014;-;-;-;-;-;1;1
..Agosto/2014;-;-;-;-;1;-;1
..Setembro/2014;1;-;-;1;-;-;2
..Outubro/2014;2;-;-;-;-;-;2
..Novembro/2014;1;-;-;-;-;-;1
2015;4;2;-;-;1;1;8
..Maio/2015;1;-;-;-;-;-;1
..Julho/2015;1;-;-;-;-;-;1
..Agosto/2015;1;-;-;-;-;-;1
..Setembro/2015;1;1;-;-;1;-;3
..Novembro/2015;-;1;-;-;-;1;2
2016;3;-;1;2;1;5;12
..Fevereiro/2016;-;-;-;1;-;-;1
..Mar�o/2016;-;-;-;1;-;-;1
..Abril/2016;-;-;-;-;-;1;1
..Maio/2016;2;-;-;-;-;1;3
..Junho/2016;-;-;-;-;1;1;2
..Julho/2016;1;-;-;-;-;-;1
..Setembro/2016;-;-;-;-;-;1;1
..Outubro/2016;-;-;1;-;-;1;2
2017;2;2;1;1;-;3;9
..Janeiro/2017;1;-;-;-;-;-;1
..Mar�o/2017;1;1;-;-;-;-;2
..Maio/2017;-;-;-;1;-;1;2
..Julho/2017;-;1;1;-;-;1;3
..Outubro/2017;-;-;-;-;-;1;1
2018;1;-;2;1;-;5;9
..Janeiro/2018;1;-;-;-;-;-;1
..Mar�o/2018;-;-;1;-;-;-;1
..Maio/2018;-;-;-;1;-;-;1
..Julho/2018;-;-;1;-;-;1;2
..Setembro/2018;-;-;-;-;-;1;1
..Outubro/2018;-;-;-;-;-;1;1
..Novembro/2018;-;-;-;-;-;2;2
2019;1;1;-;1;-;5;8
..Maio/2019;-;1;-;-;-;1;2
..Agosto/2019;-;-;-;1;-;1;2
..Setembro/2019;-;-;-;-;-;2;2
..Novembro/2019;-;-;-;-;-;1;1
..Dezembro/2019;1;-;-;-;-;-;1
Total;49;12;30;14;49;90;244
 ;;;;;;;
