Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
..Fevereiro/2015;2;-;-;2;1;-;5
..Mar�o/2015;-;-;1;-;1;-;2
..Abril/2015;1;2;1;2;1;3;10
..Maio/2015;1;1;-;2;1;2;7
..Junho/2015;4;-;1;-;-;2;7
..Julho/2015;4;1;1;-;-;3;9
..Agosto/2015;-;-;-;1;1;3;5
..Setembro/2015;1;-;1;2;-;5;9
..Outubro/2015;1;-;-;-;1;1;3
..Novembro/2015;2;-;-;-;-;2;4
..Dezembro/2015;-;-;-;-;2;7;9
2016;21;-;7;9;2;35;74
..Janeiro/2016;1;-;-;-;-;3;4
..Fevereiro/2016;2;-;-;2;-;4;8
..Mar�o/2016;2;-;1;-;-;2;5
..Abril/2016;5;-;2;-;-;6;13
..Maio/2016;5;-;2;1;-;4;12
..Junho/2016;1;-;2;4;-;7;14
..Julho/2016;1;-;-;1;-;3;5
..Agosto/2016;1;-;-;-;-;2;3
..Outubro/2016;-;-;-;1;1;1;3
..Novembro/2016;-;-;-;-;1;1;2
..Dezembro/2016;3;-;-;-;-;2;5
2017;13;2;5;2;8;24;54
..Janeiro/2017;-;-;1;1;-;-;2
..Fevereiro/2017;1;2;-;-;-;1;4
..Mar�o/2017;-;-;-;-;1;1;2
..Abril/2017;1;-;-;1;-;4;6
..Maio/2017;1;-;1;-;2;1;5
..Junho/2017;1;-;1;-;2;5;9
..Julho/2017;-;-;1;-;-;4;5
..Agosto/2017;-;-;-;-;-;3;3
..Setembro/2017;1;-;-;-;1;3;5
..Outubro/2017;2;-;-;-;-;1;3
..Novembro/2017;4;-;1;-;-;-;5
..Dezembro/2017;2;-;-;-;2;1;5
2018;13;-;7;10;5;34;69
..Janeiro/2018;-;-;1;-;-;4;5
..Fevereiro/2018;1;-;1;-;-;-;2
..Mar�o/2018;1;-;-;1;-;4;6
..Abril/2018;1;-;1;3;-;4;9
..Maio/2018;1;-;2;5;1;1;10
..Junho/2018;3;-;-;-;1;5;9
..Julho/2018;1;-;1;1;-;3;6
..Agosto/2018;2;-;1;-;-;2;5
..Setembro/2018;1;-;-;-;-;2;3
..Outubro/2018;1;-;-;-;2;3;6
..Novembro/2018;1;-;-;-;-;2;3
..Dezembro/2018;-;-;-;-;1;4;5
2019;10;-;4;2;3;23;42
..Janeiro/2019;1;-;-;-;-;1;2
..Fevereiro/2019;1;-;-;-;-;1;2
..Mar�o/2019;-;-;-;1;-;-;1
..Abril/2019;-;-;1;-;-;3;4
..Maio/2019;-;-;1;-;2;1;4
..Junho/2019;5;-;1;-;-;4;10
..Julho/2019;1;-;-;-;-;4;5
..Agosto/2019;-;-;1;-;-;3;4
..Setembro/2019;-;-;-;-;-;3;3
..Outubro/2019;-;-;-;-;-;2;2
..Novembro/2019;1;-;-;-;1;-;2
..Dezembro/2019;1;-;-;1;-;1;3
Total;223;53;99;114;160;697;1346
 ;;;;;;;
