Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
2006;16;9;6;18;16;42;107
..Janeiro/2006;-;-;-;-;-;2;2
..Fevereiro/2006;1;-;-;2;-;6;9
..Mar�o/2006;-;-;-;2;-;2;4
..Abril/2006;-;1;-;4;1;4;10
..Maio/2006;3;1;-;-;5;3;12
..Junho/2006;-;2;1;3;1;4;11
..Julho/2006;1;1;1;2;3;3;11
..Agosto/2006;3;1;1;3;1;8;17
..Setembro/2006;2;-;1;1;-;3;7
..Outubro/2006;2;1;2;-;1;-;6
..Novembro/2006;1;1;-;-;1;5;8
..Dezembro/2006;3;1;-;1;3;2;10
2007;13;8;9;8;16;22;76
..Janeiro/2007;-;-;-;-;2;1;3
..Fevereiro/2007;1;1;1;-;1;4;8
..Mar�o/2007;1;-;1;1;1;2;6
..Abril/2007;1;-;-;-;-;1;2
..Maio/2007;2;1;2;-;1;4;10
..Junho/2007;2;-;1;1;-;1;5
..Julho/2007;-;3;2;1;1;3;10
..Agosto/2007;1;-;-;1;2;1;5
..Setembro/2007;1;1;1;-;4;2;9
..Outubro/2007;2;-;1;3;2;-;8
..Novembro/2007;1;2;-;-;1;1;5
..Dezembro/2007;1;-;-;1;1;2;5
2008;12;6;10;10;15;89;142
..Janeiro/2008;1;-;-;1;-;7;9
..Fevereiro/2008;2;-;-;-;3;7;12
..Mar�o/2008;2;1;1;1;1;5;11
..Abril/2008;2;-;-;2;3;12;19
..Maio/2008;-;2;1;1;1;9;14
..Junho/2008;-;1;-;1;-;5;7
..Julho/2008;-;-;2;-;3;10;15
..Agosto/2008;2;-;-;1;-;7;10
..Setembro/2008;-;2;3;1;-;2;8
..Outubro/2008;1;-;2;2;-;8;13
..Novembro/2008;1;-;1;-;1;5;8
..Dezembro/2008;1;-;-;-;3;12;16
2009;9;5;7;5;18;97;141
..Janeiro/2009;-;2;1;-;-;7;10
..Fevereiro/2009;1;-;2;1;3;8;15
..Mar�o/2009;-;1;-;1;3;5;10
..Abril/2009;2;-;1;1;2;15;21
..Maio/2009;-;1;-;-;2;6;9
..Junho/2009;1;-;-;-;1;7;9
..Julho/2009;1;-;-;-;2;11;14
..Agosto/2009;1;-;-;-;2;12;15
..Setembro/2009;-;-;-;-;1;7;8
..Outubro/2009;3;-;1;1;1;5;11
..Novembro/2009;-;-;-;1;1;8;10
..Dezembro/2009;-;1;2;-;-;6;9
2010;9;3;5;9;17;62;105
..Janeiro/2010;-;-;-;-;4;5;9
..Fevereiro/2010;1;-;-;-;-;5;6
..Mar�o/2010;1;-;-;1;1;5;8
..Abril/2010;-;-;-;1;-;7;8
..Maio/2010;2;1;-;1;3;4;11
..Junho/2010;1;1;2;-;1;7;12
..Julho/2010;1;-;-;-;1;5;7
..Agosto/2010;-;-;1;1;1;7;10
..Setembro/2010;-;-;-;-;4;6;10
..Outubro/2010;-;1;1;1;-;3;6
..Novembro/2010;2;-;1;2;-;6;11
..Dezembro/2010;1;-;-;2;2;2;7
2011;14;4;12;6;17;82;135
..Janeiro/2011;3;-;-;-;3;5;11
..Fevereiro/2011;1;-;-;2;2;4;9
..Mar�o/2011;-;1;2;2;3;7;15
..Abril/2011;1;1;1;-;4;8;15
..Maio/2011;2;-;2;1;1;4;10
..Junho/2011;1;-;3;-;1;8;13
..Julho/2011;-;1;2;-;1;7;11
..Agosto/2011;-;-;1;-;1;8;10
..Setembro/2011;1;1;-;-;1;7;10
..Outubro/2011;1;-;1;1;-;10;13
..Novembro/2011;-;-;-;-;-;5;5
..Dezembro/2011;4;-;-;-;-;9;13
2012;26;4;8;11;12;59;120
..Janeiro/2012;1;1;-;1;-;6;9
..Fevereiro/2012;1;-;-;-;2;6;9
..Mar�o/2012;3;-;-;1;2;4;10
..Abril/2012;1;1;2;-;1;6;11
..Maio/2012;2;-;2;-;1;5;10
..Junho/2012;4;-;-;3;-;6;13
..Julho/2012;1;1;1;1;2;4;10
..Agosto/2012;7;1;-;1;-;3;12
..Setembro/2012;3;-;1;2;1;5;12
..Outubro/2012;2;-;1;1;1;5;10
..Novembro/2012;1;-;-;-;1;6;8
..Dezembro/2012;-;-;1;1;1;3;6
2013;32;7;8;6;14;49;116
..Janeiro/2013;3;-;-;-;1;2;6
..Fevereiro/2013;3;1;-;-;2;2;8
..Mar�o/2013;3;1;-;-;1;4;9
..Abril/2013;2;-;2;2;1;8;15
..Maio/2013;6;1;-;-;2;3;12
..Junho/2013;3;-;1;-;-;6;10
..Julho/2013;3;-;1;-;1;4;9
..Agosto/2013;6;-;-;1;1;3;11
..Setembro/2013;3;2;-;-;-;7;12
..Outubro/2013;-;-;2;1;2;3;8
..Novembro/2013;-;1;-;2;1;3;7
..Dezembro/2013;-;1;2;-;2;4;9
2014;18;-;6;9;9;50;92
..Janeiro/2014;3;-;-;-;-;4;7
..Fevereiro/2014;-;-;2;2;1;2;7
..Mar�o/2014;3;-;1;1;1;5;11
..Abril/2014;1;-;-;-;2;2;5
..Maio/2014;2;-;-;-;1;5;8
..Junho/2014;-;-;-;1;-;4;5
..Julho/2014;3;-;-;2;-;8;13
..Agosto/2014;2;-;1;1;1;6;11
..Setembro/2014;-;-;-;2;2;2;6
..Outubro/2014;-;-;-;-;-;4;4
..Novembro/2014;2;-;2;-;1;1;6
..Dezembro/2014;2;-;-;-;-;7;9
2015;17;5;5;9;8;29;73
..Janeiro/2015;1;1;-;-;-;1;3
